,Artist ID,Artist name,Album ID,Album name,Album release date,Track ID,Track name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,0AJ6PUJERpXYRGGQQfOrRC,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",0.29,0.58,-4.767,0,0.0434,0.491,0,0.243,0.353,172.396,370444,3
1,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,2y0hUGvHaKm2p5xmJF4HBe,"Saware (From ""Phantom"")",0.499,0.683,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,321613,4
2,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,5ZU1GwpkNJPaGbUwXX5rpQ,"Pachtaoge (From ""Jaani Ve"")",0.515,0.691,-4.028,0,0.0343,0.623,0,0.121,0.504,169.52,226789,3
3,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,4qrutnO6ACDukoGB8EIPMS,"Kabira (Encore) [From ""Yeh Jawaani Hai Deewani""]",0.611,0.612,-7.978,1,0.114,0.441,0,0.18,0.898,171.841,270439,4
4,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,7ouBSPZKQpm7zQz2leJXta,"Tum Hi Ho (From ""Aashiqui 2"")",0.529,0.451,-6.25,0,0.025,0.788,0,0.122,0.309,94.054,261974,4
5,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",0.575,0.541,-6.45,1,0.0237,0.759,0,0.111,0.27,87.022,260590,4
6,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,0ZyJDDqBjI0rDnn31qHgbg,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",0.501,0.382,-9.31,1,0.0283,0.722,1.15e-05,0.154,0.264,80.657,278402,4
7,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,1NX33DecZrq4ZUGDc47AfN,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",0.566,0.541,-5.525,1,0.0306,0.341,4.45e-06,0.102,0.31,83.939,264806,4
8,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,4RCd3Gdtt3dNedof64hqRD,"Phir Mohabbat (From ""Murder 2"")",0.464,0.481,-6.391,0,0.033,0.787,1.09e-06,0.127,0.263,199.765,329851,4
9,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19,4OEBP1iwGmLtcM8UKRLm80,"Itni Si Baat Hain (From ""Azhar"")",0.56,0.768,-4.77,1,0.0655,0.494,0,0.0844,0.289,155.765,294847,4
